name,tourism,amenity,leisure,opening_hours,website,lat,lon
,,,park,,,31.795497003645377,34.630449228312166
,,,park,,,31.794638743304557,34.63071409597104
,,,park,,,31.79411661010354,34.6309549753477
,,,park,,,31.7935381655286,34.63065221010042
,,,park,,,31.793344180024302,34.630018051624596
,,,park,,,31.793535819175954,34.62936038120681
,,,park,,,31.794917734612973,34.63010296414686
,,,park,,,31.770901287249977,34.64416991406432
,,,park,,,31.771253404818648,34.64548992127644
,,,park,,,31.770864620326588,34.637251012913985
,,,park,,,31.766765066822323,34.62871627525294
,,,park,,,31.765495075009937,34.63117927366508
,,,park,,,31.77158611138294,34.62493420582678
,attraction,,,,,31.782918976741136,34.668731008334326
Lachish Park,,,park,,,31.818054503414867,34.65109369405242
